Country,Age,Salary,Purchased,Date,Open,Close
0,France,44.0,72000.0,No,2018-01-01,100.0,150.0
1,Spain,27.0,48000.0,Yes,2018-01-02,200.0,250.0
2,Germany,30.0,54000.0,No,2018-01-03,150.0,200.0
3,Spain,38.0,61000.0,No,2018-01-04,250.0,300.0
4,Germany,40.0,NaN,Yes,2018-01-05,300.0,350.0
5,France,35.0,58000.0,Yes,2018-01-06,350.0,400.0
6,Spain,NaN,52000.0,No,2018-01-07,400.0,450.0
7,France,48.0,79000.0,Yes,2018-01-08,450.0,500.0
8,Germany,50.0,83000.0,No,2018-01-09,500.0,550.0
9,France,37.0,67000.0,Yes,2018-01-10,550.0,600.0
